time,ax,ay,az,atotal
1.493,-0.18,-0.02,-0.72,0.74
1.503,0.21,-0.20,0.40,0.49
1.513,0.20,0.16,-0.37,0.45
1.523,0.86,0.36,-0.61,1.11
1.533,0.19,0.19,0.65,0.71
1.543,0.03,0.28,-0.66,0.72
1.553,-0.50,0.02,0.44,0.66
1.563,-0.27,0.56,-0.32,0.70
1.573,-0.92,0.31,1.13,1.49
1.583,0.43,0.01,-1.27,1.34
1.594,-0.41,-0.48,1.69,1.81
1.604,0.58,-0.27,-2.02,2.12
1.614,-0.24,-0.50,0.99,1.13
1.624,0.08,-0.23,0.46,0.52
1.634,0.17,0.06,-1.50,1.51
1.644,0.19,-0.10,0.28,0.35
1.654,0.52,0.45,0.27,0.73
1.664,0.38,0.53,-1.47,1.61
1.674,0.60,-0.06,0.88,1.06
1.684,-0.51,0.26,0.41,0.71
1.694,-0.82,0.41,-0.13,0.93
1.704,-0.39,0.54,0.14,0.68
1.714,-0.88,0.14,0.30,0.94
1.725,0.41,-0.62,-0.49,0.89
1.735,0.44,-0.87,0.24,1.00
1.745,0.02,-0.31,0.05,0.31
1.755,0.11,0.04,-0.37,0.39
1.765,0.07,0.27,0.04,0.28
1.775,0.25,0.22,-0.44,0.55
1.785,0.63,0.24,0.01,0.67
1.795,0.39,0.38,-0.42,0.69
1.805,0.33,0.04,0.08,0.34
1.815,-0.74,0.12,0.69,1.02
1.825,-0.59,0.14,-0.07,0.61
1.836,-0.15,-0.09,0.22,0.28
1.846,-0.08,0.01,-0.05,0.10
1.856,-0.25,0.07,0.54,0.60
1.866,0.02,-0.07,-1.32,1.32
1.876,0.38,-0.66,0.74,1.06
1.886,-0.17,-0.06,-0.26,0.31
1.896,0.39,0.02,-0.61,0.72
1.906,0.42,0.37,0.33,0.66
1.916,0.82,0.35,-0.69,1.13
1.926,0.04,0.10,-0.36,0.38
1.936,0.01,0.08,0.62,0.63
1.946,-0.37,-0.08,0.44,0.58
1.957,-1.01,0.65,-0.51,1.31
1.966,-0.09,-0.09,1.01,1.02
1.977,-0.26,-0.04,-0.17,0.31
1.987,-0.03,-0.16,-0.85,0.87
1.997,0.58,-0.43,0.83,1.10
2.007,0.03,-0.17,-0.62,0.64
2.017,0.18,-0.15,-0.40,0.47
2.027,-0.01,0.19,0.26,0.32
2.037,0.43,0.62,-1.09,1.33
2.047,0.82,0.09,0.75,1.11
2.058,0.18,0.23,-0.56,0.63
2.068,-0.10,-0.09,0.27,0.30
2.078,-0.79,0.49,0.35,0.99
2.088,-0.62,0.23,0.21,0.69
2.098,-0.10,0.09,0.01,0.13
2.108,-0.06,-0.34,0.07,0.35
2.118,0.05,-0.38,-0.27,0.47
2.128,0.13,-0.11,-0.18,0.25
2.138,-0.01,-0.30,0.21,0.37
2.148,-0.10,-0.16,-0.32,0.37
2.158,0.54,0.26,-0.94,1.11
