time,ax,ay,az,atotal
1.482,-0.40,0.30,-0.03,0.50
1.493,-0.14,0.33,-0.18,0.40
1.503,0.25,-0.34,0.02,0.42
1.513,0.22,-0.54,-0.30,0.66
1.523,0.13,-0.30,-0.16,0.36
1.533,0.08,-0.02,-0.01,0.09
1.543,0.13,-0.01,-0.18,0.22
1.553,0.34,-0.06,0.06,0.35
1.563,0.50,0.25,-0.01,0.56
1.574,0.44,0.32,-0.18,0.57
1.583,-0.05,0.20,-0.16,0.26
1.594,-0.31,-0.20,0.19,0.42
1.604,-0.38,-0.12,0.21,0.45
1.614,-0.34,0.30,-0.14,0.47
1.624,-0.08,0.29,-0.00,0.30
1.634,0.07,-0.08,-0.21,0.24
1.644,0.19,-0.55,-0.16,0.60
1.654,0.03,-0.43,-0.15,0.45
1.664,0.09,-0.12,-0.11,0.19
1.674,0.17,0.07,-0.00,0.18
1.684,0.49,0.13,-0.10,0.52
1.694,0.51,0.26,0.03,0.58
1.705,0.30,0.20,-0.14,0.39
1.715,-0.11,0.03,-0.24,0.26
1.725,-0.33,-0.13,0.24,0.43
1.735,-0.30,-0.14,0.27,0.43
1.745,-0.39,0.28,-0.22,0.53
1.755,-0.01,0.33,-0.00,0.33
1.765,0.09,0.03,-0.09,0.13
1.775,0.10,-0.45,-0.25,0.52
1.785,0.09,-0.48,-0.12,0.50
1.795,0.21,-0.17,-0.11,0.29
1.805,0.29,0.09,0.10,0.32
1.816,0.46,0.31,-0.18,0.59
1.826,0.39,0.19,0.16,0.46
1.836,0.21,0.05,-0.28,0.35
1.846,-0.17,-0.09,-0.13,0.23
1.856,-0.32,-0.05,0.18,0.37
1.866,-0.26,-0.00,0.25,0.36
1.876,-0.30,0.33,-0.18,0.47
1.886,-0.05,0.24,-0.06,0.25
1.896,0.07,-0.06,-0.12,0.15
1.906,0.06,-0.32,-0.16,0.36
1.916,0.17,-0.48,-0.10,0.52
1.927,0.13,-0.19,-0.22,0.32
1.936,0.28,0.16,0.14,0.35
1.947,0.51,0.41,-0.08,0.65
1.957,0.46,0.09,-0.05,0.47
1.967,0.17,-0.03,-0.24,0.30
1.977,-0.20,-0.14,0.02,0.24
1.987,-0.20,-0.02,0.07,0.22
1.997,-0.30,0.16,0.31,0.46
2.007,-0.27,0.24,-0.13,0.38
2.017,-0.21,0.16,-0.07,0.27
2.027,0.11,-0.09,-0.13,0.20
2.038,0.08,-0.16,-0.18,0.26
2.048,0.28,-0.42,-0.07,0.51
2.058,0.16,-0.41,-0.09,0.45
2.067,0.26,0.05,-0.13,0.30
2.078,0.41,0.40,0.08,0.58
2.088,0.37,0.30,-0.09,0.48
2.098,0.19,-0.09,-0.24,0.32
2.108,-0.25,-0.19,-0.08,0.32
2.118,-0.25,-0.09,0.11,0.29
2.128,-0.26,0.28,0.23,0.45
2.138,-0.19,0.34,0.11,0.41
2.148,-0.05,0.11,-0.26,0.29
2.158,0.03,-0.25,-0.19,0.32
2.168,0.11,-0.29,0.06,0.32
2.179,0.11,-0.13,-0.30,0.34
2.189,0.09,-0.31,0.04,0.33
2.199,0.23,-0.14,0.01,0.27
2.209,0.50,0.29,-0.25,0.64
2.219,0.49,0.42,0.23,0.68
2.229,0.30,0.12,-0.35,0.47
2.239,-0.28,-0.25,-0.07,0.38
