time,ax,ay,az,atotal
1.483,0.02,0.06,-0.16,0.17
1.493,0.21,-0.01,0.13,0.25
1.503,0.37,0.15,0.06,0.40
1.513,0.36,0.17,-0.14,0.42
1.523,0.13,0.33,-0.19,0.40
1.533,-0.18,0.01,0.21,0.28
1.543,-0.55,-0.08,0.23,0.60
1.553,-0.53,0.24,-0.00,0.58
1.563,-0.27,0.45,-0.15,0.55
1.574,0.02,-0.05,0.07,0.09
1.583,0.09,-0.46,-0.35,0.58
1.594,0.08,-0.40,-0.11,0.42
1.604,0.18,-0.19,-0.01,0.26
1.614,0.01,0.00,-0.14,0.14
1.624,0.22,-0.01,-0.05,0.23
1.634,0.41,0.15,0.22,0.49
1.644,0.27,0.19,-0.27,0.43
1.654,0.06,0.25,-0.09,0.27
1.664,-0.37,0.02,0.22,0.43
1.674,-0.33,-0.10,0.08,0.35
1.684,-0.46,0.23,0.18,0.54
1.694,-0.21,0.39,-0.09,0.45
1.705,-0.03,0.13,-0.19,0.23
1.714,0.08,-0.48,-0.02,0.49
1.725,0.08,-0.51,-0.28,0.58
1.735,0.10,-0.27,0.03,0.29
1.745,0.08,0.08,-0.13,0.17
1.755,0.28,0.24,0.06,0.37
1.765,0.49,0.10,0.20,0.54
1.775,0.31,0.11,-0.43,0.54
1.785,-0.09,0.12,0.01,0.16
1.795,-0.31,0.02,0.16,0.35
1.805,-0.38,-0.11,0.26,0.47
1.815,-0.57,0.34,-0.11,0.67
1.826,-0.23,0.41,0.05,0.47
1.835,0.04,0.05,-0.14,0.15
1.846,-0.03,-0.37,-0.14,0.40
1.856,0.23,-0.49,-0.16,0.56
1.866,0.15,-0.27,-0.02,0.31
1.876,0.17,-0.02,-0.12,0.21
1.886,0.30,0.33,0.10,0.45
1.896,0.36,0.21,0.18,0.46
1.906,0.10,0.11,-0.42,0.44
1.916,-0.14,0.03,-0.01,0.14
1.926,-0.23,0.02,0.08,0.24
1.936,-0.38,-0.00,0.28,0.47
1.946,-0.31,0.15,0.03,0.34
