time,ax,ay,az,atotal
1.493,0.29,-0.42,0.15,0.53
1.503,0.16,-0.14,-0.29,0.36
1.513,0.08,-0.06,-0.20,0.22
1.523,0.17,-0.08,0.09,0.21
1.533,0.29,0.18,0.03,0.35
1.543,0.33,0.42,-0.09,0.54
1.553,0.32,0.41,-0.18,0.55
1.563,-0.15,-0.02,0.08,0.17
1.573,-0.33,-0.12,-0.03,0.35
1.583,-0.50,0.06,0.35,0.61
1.593,-0.34,0.58,-0.33,0.75
1.604,-0.06,0.17,0.09,0.20
1.614,0.23,-0.30,-0.34,0.51
1.624,0.14,-0.42,-0.12,0.46
1.634,0.21,-0.11,-0.22,0.32
1.644,-0.11,0.07,0.04,0.13
1.654,0.13,0.00,-0.15,0.20
1.664,0.41,0.21,0.13,0.47
1.674,0.47,0.41,-0.06,0.63
1.684,0.21,0.38,-0.22,0.48
1.695,-0.12,-0.11,0.00,0.16
1.705,-0.55,-0.06,0.26,0.61
1.715,-0.45,0.25,0.08,0.52
1.725,-0.23,0.50,-0.20,0.59
1.735,0.01,0.09,0.02,0.09
1.745,0.29,-0.36,-0.25,0.53
1.755,0.14,-0.40,-0.09,0.43
1.765,0.13,-0.13,-0.12,0.22
1.775,0.01,0.21,-0.15,0.26
1.785,0.23,0.13,0.09,0.28
1.795,0.31,0.19,0.06,0.37
1.805,0.40,0.20,-0.19,0.49
1.815,0.15,0.30,-0.15,0.36
1.826,-0.18,0.03,0.07,0.20
1.836,-0.38,-0.23,0.26,0.52
1.846,-0.49,0.27,-0.14,0.58
1.856,-0.17,0.43,0.05,0.46
1.866,0.03,0.13,-0.13,0.19
1.876,0.19,-0.34,-0.19,0.43
1.886,0.10,-0.40,-0.14,0.44
1.896,0.12,-0.18,-0.16,0.27
1.906,0.02,0.07,-0.07,0.10
1.916,0.24,0.33,-0.12,0.42
1.926,0.43,0.23,0.36,0.60
1.936,0.42,0.22,-0.45,0.65
1.947,0.11,0.17,-0.02,0.20
1.957,-0.17,0.08,-0.01,0.19
1.967,-0.44,-0.18,0.31,0.56
1.977,-0.37,0.15,-0.03,0.40
1.987,-0.34,0.47,-0.08,0.58
1.997,0.11,0.18,-0.11,0.24
2.007,0.11,-0.28,-0.06,0.31
2.017,0.15,-0.40,-0.23,0.48
2.027,0.12,-0.21,-0.15,0.28
2.038,0.19,0.16,0.03,0.25
2.048,0.27,0.36,-0.02,0.45
2.058,0.37,0.22,0.05,0.43
2.068,0.24,0.19,-0.22,0.38
2.078,0.01,0.03,-0.06,0.07
2.088,-0.17,0.02,-0.11,0.20
2.098,-0.37,-0.03,0.34,0.50
2.108,-0.28,0.19,0.05,0.34
2.118,-0.28,0.39,-0.19,0.52
2.128,0.10,0.02,-0.03,0.11
2.138,0.09,-0.19,-0.22,0.31
2.148,0.10,-0.34,-0.03,0.36
2.158,0.07,-0.14,-0.31,0.35
2.168,0.12,0.07,0.13,0.18
2.179,0.39,0.40,0.03,0.56
2.189,0.38,0.33,-0.08,0.51
2.199,0.30,0.09,-0.08,0.32
2.209,-0.05,-0.02,-0.22,0.23
2.219,-0.19,-0.19,-0.02,0.26
2.229,-0.31,0.13,0.29,0.45
2.239,-0.35,0.27,0.14,0.46
2.249,-0.27,0.44,-0.34,0.62
2.259,0.08,0.01,0.04,0.09
2.269,0.11,-0.18,-0.19,0.29
2.280,0.16,-0.31,-0.13,0.37
2.289,0.21,-0.36,-0.12,0.43
2.300,0.03,0.09,-0.14,0.17
2.310,0.46,0.34,0.15,0.59
2.320,0.38,0.58,-0.08,0.69
2.330,0.31,0.20,-0.15,0.40
2.340,-0.14,-0.13,-0.10,0.22
2.350,-0.32,-0.19,-0.07,0.38
2.360,-0.34,0.17,0.32,0.50
2.370,-0.29,0.45,0.09,0.55
2.380,-0.08,0.30,-0.11,0.33
2.390,0.07,-0.09,-0.28,0.30
2.400,0.16,-0.33,0.01,0.37
2.411,0.06,-0.16,-0.27,0.32
2.420,0.09,-0.21,0.00,0.23
2.431,0.11,-0.04,-0.19,0.23
2.441,0.27,0.27,0.11,0.39
2.451,0.45,0.39,0.02,0.60
2.461,0.35,0.30,-0.30,0.56
2.471,0.03,-0.11,0.11,0.16
2.481,-0.31,-0.17,-0.17,0.39
2.491,-0.44,-0.04,0.35,0.56
2.501,-0.35,0.58,-0.02,0.68
2.511,-0.13,0.45,0.04,0.47
2.521,0.14,-0.16,-0.21,0.30
2.531,0.10,-0.34,-0.18,0.40
2.542,0.18,-0.20,0.01,0.28
2.552,0.08,-0.07,-0.24,0.26
2.562,0.04,-0.12,-0.10,0.17
2.572,0.33,0.19,0.05,0.38
2.582,0.40,0.36,0.16,0.56
2.592,0.36,0.37,-0.28,0.59
2.602,-0.11,0.12,-0.15,0.22
2.612,-0.24,-0.15,0.05,0.29
2.622,-0.44,-0.05,0.31,0.54
2.632,-0.35,0.40,0.01,0.53
2.643,-0.09,0.50,-0.13,0.53
2.652,0.13,-0.13,-0.04,0.19
2.663,0.06,-0.40,-0.24,0.46
2.673,0.11,-0.29,-0.15,0.34
