time,ax,ay,az,atotal
1.503,0.12,-0.20,-0.31,0.39
1.513,0.08,-0.38,-0.08,0.39
1.523,0.15,-0.28,-0.09,0.33
1.533,0.21,0.09,-0.17,0.28
1.543,0.32,0.38,0.18,0.53
1.553,0.40,0.29,-0.00,0.49
1.563,0.16,0.08,-0.29,0.34
1.573,-0.09,0.01,-0.07,0.11
1.584,-0.19,-0.10,0.13,0.25
1.593,-0.33,0.12,0.21,0.41
1.604,-0.32,0.25,0.08,0.41
1.614,-0.15,0.34,-0.20,0.43
1.624,0.05,0.05,-0.08,0.10
1.634,0.14,-0.17,-0.10,0.24
1.644,0.16,-0.32,-0.23,0.43
1.654,0.20,-0.36,-0.04,0.41
1.664,0.21,0.03,-0.06,0.22
1.674,0.29,0.32,0.12,0.45
1.684,0.37,0.47,-0.13,0.61
1.694,0.16,0.10,-0.01,0.19
1.705,-0.09,-0.14,-0.26,0.31
1.715,-0.28,-0.18,0.13,0.35
1.725,-0.24,0.19,0.34,0.46
1.735,-0.27,0.45,-0.02,0.53
1.745,-0.04,0.17,-0.05,0.19
1.755,0.04,-0.19,-0.20,0.28
1.765,0.11,-0.26,-0.10,0.30
1.775,0.18,-0.15,-0.07,0.24
1.785,0.13,-0.20,-0.12,0.26
1.795,0.08,0.07,-0.17,0.20
1.805,0.40,0.23,0.27,0.53
1.815,0.39,0.44,-0.18,0.61
1.826,0.26,0.21,-0.09,0.34
1.836,-0.01,-0.15,-0.17,0.23
1.846,-0.36,-0.19,0.03,0.40
1.856,-0.28,0.03,0.38,0.47
1.866,-0.42,0.61,-0.09,0.75
1.876,-0.06,0.31,0.02,0.32
1.886,0.01,-0.24,-0.24,0.33
1.896,0.11,-0.39,-0.20,0.45
1.906,0.18,-0.18,-0.08,0.27
1.916,0.15,-0.05,-0.06,0.17
1.926,0.17,-0.08,-0.17,0.25
1.936,0.32,0.15,0.04,0.35
1.946,0.33,0.28,0.16,0.46
1.957,0.24,0.24,-0.43,0.55
1.967,-0.05,0.01,0.15,0.16
1.977,-0.28,-0.02,-0.08,0.30
1.987,-0.32,-0.01,0.36,0.48
1.997,-0.29,0.42,-0.08,0.51
2.007,-0.09,0.42,-0.14,0.45
2.017,0.14,-0.23,0.01,0.27
2.027,0.08,-0.36,-0.37,0.52
2.037,0.12,-0.26,-0.01,0.29
2.047,0.08,0.03,-0.04,0.09
2.057,0.10,0.07,-0.24,0.27
2.067,0.38,0.08,0.15,0.42
2.078,0.42,0.30,-0.03,0.52
2.088,0.35,0.29,-0.15,0.47
2.098,-0.00,0.02,-0.09,0.10
2.108,-0.38,-0.23,0.04,0.44
2.118,-0.39,-0.04,0.29,0.49
2.128,-0.41,0.47,-0.03,0.62
2.138,-0.12,0.52,-0.09,0.54
2.148,0.09,-0.12,-0.07,0.17
2.158,0.17,-0.51,-0.28,0.60
2.168,0.18,-0.42,-0.05,0.46
2.178,0.11,-0.06,-0.18,0.22
2.189,0.12,0.16,0.00,0.20
2.199,0.37,0.14,0.09,0.41
2.209,0.32,0.21,-0.08,0.39
2.219,0.37,0.24,-0.25,0.50
2.229,-0.07,0.19,0.01,0.20
2.239,-0.34,-0.09,0.07,0.36
2.249,-0.37,-0.13,0.24,0.46
2.259,-0.41,0.39,0.02,0.57
2.269,0.01,0.46,-0.19,0.50
2.279,0.11,-0.12,0.00,0.17
2.289,0.28,-0.53,-0.24,0.64
2.299,0.04,-0.44,-0.11,0.46
2.310,0.14,-0.10,-0.17,0.24
2.320,0.15,0.21,0.02,0.26
2.330,0.28,0.16,0.09,0.34
2.340,0.46,0.22,-0.14,0.53
2.350,0.27,0.21,-0.06,0.35
2.360,-0.09,0.15,-0.20,0.27
2.370,-0.42,-0.07,0.15,0.46
2.380,-0.32,-0.12,0.28,0.44
2.390,-0.50,0.34,-0.12,0.62
2.400,0.10,0.29,-0.12,0.33
2.410,0.14,-0.07,-0.05,0.17
2.421,0.18,-0.33,-0.33,0.50
2.431,0.12,-0.33,-0.07,0.36
2.441,0.14,-0.21,-0.13,0.28
2.451,0.15,0.17,-0.14,0.27
2.461,0.39,0.35,0.14,0.54
2.471,0.44,0.19,0.06,0.48
2.481,0.07,0.18,-0.42,0.47
2.491,-0.18,0.04,0.10,0.20
2.501,-0.36,0.06,0.21,0.42
2.511,-0.36,-0.00,0.22,0.42
2.521,-0.30,0.32,-0.22,0.49
2.531,-0.02,0.15,-0.06,0.16
