time,ax,ay,az,atotal
1.493,-0.81,0.59,-2.70,2.88
1.503,-0.07,-1.19,1.15,1.66
1.513,-0.05,-1.06,0.75,1.30
1.523,0.48,-0.63,-0.91,1.20
1.533,-0.45,-2.16,1.27,2.55
1.543,0.68,0.49,-1.67,1.87
1.553,0.41,-0.42,1.66,1.76
1.563,0.28,0.77,-1.88,2.05
1.573,-1.07,-0.65,0.67,1.42
1.583,0.07,1.22,-0.20,1.24
1.593,-0.20,-0.43,0.52,0.71
1.604,0.01,-1.05,-1.19,1.59
1.613,-0.00,-0.93,0.65,1.13
1.624,0.66,-0.92,-0.13,1.14
1.634,0.18,-1.09,-0.32,1.15
1.644,-0.29,-1.29,0.62,1.46
1.654,0.09,-0.70,-0.78,1.05
1.664,-0.01,-0.87,0.38,0.95
1.674,-0.16,-0.48,-0.95,1.07
1.684,-0.79,-1.61,0.86,1.99
1.694,0.93,-0.01,-1.09,1.43
1.704,0.46,-1.03,2.19,2.46
1.714,5.44,3.96,2.64,7.23
1.725,1.64,0.37,-5.98,6.21
1.735,-6.11,4.18,4.05,8.43
1.745,-1.29,4.70,-3.69,6.11
1.755,-1.70,-2.11,-0.22,2.72
1.765,-0.02,1.49,3.87,4.15
1.775,3.63,0.76,-3.83,5.33
1.785,0.96,-2.35,2.61,3.64
1.795,0.64,0.48,-0.55,0.98
1.805,-1.28,-3.27,-0.09,3.51
1.815,-1.33,1.04,0.66,1.81
1.825,-3.28,-0.94,-1.51,3.74
1.836,-0.62,0.84,-1.18,1.57
1.846,1.78,2.18,1.23,3.07
1.856,0.67,-0.50,-0.43,0.94
1.866,1.43,0.14,0.70,1.59
1.876,1.21,1.12,0.17,1.66
1.886,-0.59,-1.52,-0.84,1.84
1.896,-0.61,-0.14,0.65,0.90
1.906,0.92,0.28,-0.11,0.96
1.916,0.36,-0.02,-0.12,0.38
1.926,0.33,0.48,0.72,0.93
1.937,-0.97,-0.83,-0.88,1.55
1.946,-1.17,0.72,-0.47,1.45
1.957,-1.30,-0.05,0.04,1.30
1.967,-0.42,0.68,-1.24,1.48
1.977,0.44,-0.58,1.74,1.89
1.987,1.08,0.80,-0.57,1.46
1.997,0.06,-1.70,-0.52,1.78
2.007,0.26,-0.67,0.98,1.22
2.017,1.67,0.36,0.30,1.74
2.027,0.02,-0.39,0.16,0.42
2.037,0.30,2.14,-1.22,2.48
2.047,-0.47,0.06,1.27,1.36
2.057,0.52,1.87,-1.84,2.67
2.067,-1.49,-2.12,1.62,3.06
2.078,-0.16,1.15,-1.87,2.20
2.088,-1.39,-1.43,1.04,2.25
2.098,-0.43,0.49,-0.93,1.14
2.108,-0.34,-1.09,0.83,1.41
2.118,1.07,1.31,-0.38,1.73
2.128,1.08,-0.27,-0.33,1.17
2.138,-1.20,-0.61,0.29,1.37
2.148,0.95,-0.24,-0.17,0.99
2.158,1.32,0.50,0.87,1.66
2.168,0.95,1.05,-0.40,1.47
2.178,-0.13,-0.17,0.04,0.22
2.189,-0.23,0.91,-0.64,1.13
2.199,-1.61,-1.23,0.41,2.07
2.209,-1.24,0.47,-0.51,1.42
2.219,-0.66,-0.62,-0.36,0.97
2.229,-0.01,0.25,0.52,0.58
2.239,0.71,0.83,-1.10,1.55
2.249,-0.20,-1.77,1.22,2.16
2.259,0.71,1.49,-0.89,1.88
2.269,-0.25,-1.51,0.58,1.64
2.279,0.98,0.98,-0.11,1.39
2.289,1.80,0.21,1.22,2.19
2.299,0.62,0.91,2.94,3.14
2.310,-0.43,-0.25,-1.41,1.50
2.320,-0.81,2.06,0.22,2.22
2.330,-1.61,-0.04,-1.01,1.90
2.340,-1.21,0.97,-2.69,3.10
2.350,-0.26,-0.44,1.07,1.18
2.360,0.10,-1.11,-0.18,1.13
2.370,0.19,2.40,1.07,2.63
2.380,0.19,-0.09,-0.41,0.46
2.390,0.05,1.58,-1.74,2.35
2.400,0.42,0.86,0.70,1.18
2.410,0.97,0.75,0.67,1.40
2.421,1.25,0.50,-0.33,1.39
2.431,0.67,0.91,-0.62,1.29
2.441,-0.01,0.76,0.26,0.80
2.451,-1.08,0.42,-1.00,1.53
2.461,-1.68,0.78,0.80,2.02
2.471,-1.55,0.34,-1.08,1.92
2.481,-0.42,0.14,-0.89,0.99
2.491,0.97,-0.74,0.96,1.55
2.501,1.37,-0.19,-0.39,1.44
2.511,0.49,-0.49,1.10,1.30
2.521,-0.11,-0.56,-0.81,0.99
2.531,-0.79,-0.26,0.08,0.83
2.542,-0.08,-0.40,0.93,1.02
2.552,1.14,-0.06,-0.29,1.18
2.562,1.65,0.25,0.13,1.68
2.572,0.82,0.65,-0.33,1.10
2.582,-0.74,0.46,-0.01,0.87
2.592,-2.11,0.57,-0.32,2.21
2.602,-2.17,0.57,-0.31,2.27
2.612,-1.01,-0.16,-1.24,1.61
2.622,1.19,-0.17,0.54,1.32
2.632,1.72,-0.48,0.38,1.82
2.642,1.11,0.16,0.20,1.14
2.652,-0.35,-0.58,0.12,0.69
2.663,-1.13,0.02,-0.65,1.31
2.673,-0.31,-0.39,0.66,0.82
2.683,1.01,-0.24,0.73,1.27
2.693,1.85,0.16,-0.70,1.98
2.703,1.15,0.69,0.10,1.34
2.713,-0.71,0.39,-0.12,0.81
2.723,-2.31,0.38,-0.40,2.37
2.733,-2.41,0.26,-0.06,2.42
2.743,-0.75,-0.49,-1.47,1.72
2.753,1.30,-0.39,0.80,1.58
2.763,1.72,-0.58,0.36,1.84
2.773,1.05,0.56,0.25,1.22
2.783,-0.27,-0.40,-0.15,0.50
2.794,-1.39,0.26,-0.61,1.54
2.804,-0.37,-0.14,0.56,0.69
2.814,0.95,-0.25,0.71,1.22
2.824,2.00,0.07,-0.41,2.04
2.834,1.05,0.17,-0.30,1.11
2.844,-0.45,0.48,0.41,0.77
2.854,-2.57,0.61,-0.14,2.65
2.864,-1.75,0.13,-1.25,2.16
2.874,-0.94,-0.76,-0.37,1.26
2.884,1.32,-0.15,0.70,1.50
2.894,1.33,-0.42,0.24,1.41
2.905,1.01,0.45,0.37,1.17
2.915,-0.82,-0.08,-0.81,1.16
2.925,-0.99,0.32,-0.14,1.05
2.935,-0.25,-0.18,0.46,0.55
2.945,1.45,-0.08,0.84,1.68
2.955,1.76,-0.10,-0.83,1.94
2.965,0.96,0.06,-0.12,0.97
2.975,-0.69,0.60,0.93,1.30
2.985,-2.59,0.70,-0.82,2.81
2.995,-1.41,-0.24,-1.14,1.83
3.005,-0.93,-0.87,0.03,1.28
3.015,1.08,0.09,0.65,1.26
3.026,1.02,-0.62,0.29,1.23
3.036,0.94,0.46,-0.37,1.11
3.046,-0.42,0.02,-0.32,0.53
3.056,-0.62,0.17,0.01,0.65
3.066,0.28,-0.09,0.71,0.77
3.076,1.29,-0.12,0.29,1.33
3.086,1.18,-0.23,-0.72,1.40
3.096,0.38,0.14,0.15,0.43
3.106,-1.38,0.46,0.70,1.61
3.116,-2.09,0.31,-1.02,2.34
3.126,-1.11,-0.76,-1.22,1.81
3.137,-0.07,-0.53,0.79,0.95
3.147,0.99,-0.62,0.33,1.21
3.157,0.57,-0.56,0.17,0.82
3.167,0.19,-0.15,-0.12,0.27
3.177,-0.28,-0.54,-0.80,1.00
3.187,-0.02,-0.38,0.76,0.85
3.197,0.67,-0.78,0.74,1.26
3.207,0.93,-0.99,-0.73,1.54
3.217,0.04,-0.60,-0.61,0.86
3.227,-0.69,-0.44,0.00,0.82
3.237,-1.02,-0.91,0.24,1.38
3.247,-1.02,-0.18,0.53,1.16
3.258,0.36,-0.03,-1.59,1.63
3.268,-0.21,-0.07,-1.21,1.23
3.278,-0.42,4.44,-3.97,5.97
3.288,1.81,4.93,-0.44,5.27
3.298,1.01,3.23,-0.58,3.44
3.308,-1.65,2.36,0.97,3.04
3.318,1.23,3.91,-3.26,5.24
3.328,0.03,-9.91,12.08,15.63
3.338,-1.98,-0.75,-5.03,5.46
3.348,4.94,0.36,-2.29,5.46
3.358,-0.25,-2.31,9.51,9.79
3.369,-2.48,-2.74,-1.77,4.10
3.379,-0.91,1.68,-1.79,2.62
3.389,-0.25,-0.60,-4.44,4.48
3.399,0.41,-2.20,-2.18,3.12
3.409,-0.87,-1.30,4.49,4.75
3.419,-0.13,-1.83,0.21,1.85
3.429,-0.01,-0.79,1.02,1.29
3.439,0.03,-0.68,-0.29,0.74
3.449,0.89,0.14,-2.82,2.96
3.459,0.94,0.99,1.70,2.18
3.469,1.22,1.37,-0.42,1.89
3.479,-0.05,-0.17,0.67,0.69
3.490,0.38,2.00,0.49,2.10
3.500,-1.21,-0.79,-1.50,2.09
3.510,-1.88,-0.17,-0.16,1.90
3.520,-0.73,0.67,-0.56,1.14
3.530,-0.23,-1.54,0.35,1.60
3.540,0.65,0.15,0.91,1.12
3.550,0.88,-0.52,-0.45,1.12
3.560,0.08,-0.43,-0.26,0.50
3.570,0.28,0.70,-0.30,0.81
3.580,-0.05,-0.66,0.52,0.84
3.590,0.96,1.28,0.48,1.67
3.600,1.06,0.80,-0.53,1.42
3.611,0.37,0.28,-0.16,0.48
3.621,-1.19,-0.41,-0.10,1.26
3.631,-0.88,-0.22,0.15,0.92
3.641,-1.33,0.17,-0.05,1.34
3.651,-0.86,-0.15,-0.91,1.26
3.661,0.09,0.30,0.31,0.44
3.671,0.98,0.25,-0.62,1.18
3.681,0.30,-1.41,1.04,1.77
3.691,-0.17,-0.16,-0.78,0.81
3.701,-0.68,-1.43,0.22,1.59
3.711,0.69,0.53,0.68,1.11
3.722,1.74,1.07,0.16,2.04
3.731,1.20,0.80,-0.81,1.66
3.742,0.59,1.24,-0.09,1.38
3.752,-0.52,0.27,0.13,0.60
3.762,-1.86,-1.02,0.46,2.17
3.772,-1.69,-0.32,-0.96,1.97
3.782,-0.98,-0.35,0.05,1.04
