time,ax,ay,az,atotal
1.502,0.03,0.34,0.20,0.40
1.513,0.08,0.19,-0.24,0.32
1.523,-0.09,0.02,-0.11,0.15
1.533,-0.13,-0.06,0.05,0.15
1.543,-0.04,-0.12,-0.16,0.20
1.553,0.02,-0.19,-0.05,0.19
1.563,0.14,-0.08,-0.06,0.17
1.573,0.08,0.03,0.19,0.21
1.583,-0.16,0.03,0.18,0.25
1.593,0.22,0.07,-0.44,0.50
1.603,0.02,0.17,0.03,0.17
1.613,-0.02,0.32,0.08,0.33
1.624,-0.14,0.23,0.43,0.51
1.634,0.09,0.33,0.14,0.37
1.644,0.10,0.10,-0.16,0.21
1.654,0.06,0.02,-0.15,0.16
1.664,-0.05,-0.01,0.05,0.07
1.674,0.01,-0.03,-0.16,0.16
1.684,0.08,-0.15,-0.02,0.17
1.694,-0.01,-0.20,-0.08,0.22
1.704,0.01,-0.07,0.10,0.12
1.714,0.26,-0.01,0.18,0.32
1.724,-0.09,0.15,-0.28,0.33
1.734,0.09,0.15,-0.14,0.23
1.744,0.03,0.25,0.11,0.28
1.755,-0.06,0.28,0.43,0.52
1.765,-0.03,0.29,0.09,0.30
1.775,-0.01,0.12,-0.23,0.26
1.785,-0.08,0.01,-0.04,0.09
1.795,-0.19,-0.05,-0.03,0.20
1.805,-0.02,-0.29,-0.10,0.30
1.815,0.01,-0.22,-0.21,0.30
1.825,-0.01,-0.18,0.11,0.21
1.835,0.29,-0.06,0.02,0.29
1.845,0.14,0.11,0.25,0.30
1.855,-0.02,0.28,-0.32,0.43
1.866,0.21,0.20,-0.05,0.30
1.876,0.08,0.30,0.05,0.31
1.886,0.17,0.29,0.45,0.56
1.896,-0.01,0.21,0.08,0.22
1.906,0.05,-0.08,-0.31,0.32
1.916,-0.03,-0.28,0.03,0.28
1.926,-0.04,-0.28,-0.02,0.28
1.936,-0.17,-0.24,-0.23,0.37
1.946,-0.02,-0.41,-0.01,0.41
1.956,0.06,-0.38,-0.05,0.39
1.966,0.14,-0.28,0.07,0.32
1.976,0.06,-0.07,0.23,0.24
1.986,-0.12,0.07,-0.25,0.28
1.997,0.01,0.10,-0.18,0.20
2.007,-0.01,0.17,0.15,0.22
2.017,-0.25,0.28,0.37,0.52
2.027,0.03,0.21,0.24,0.32
2.037,0.04,-0.03,-0.28,0.29
2.047,-0.09,-0.06,-0.08,0.13
2.057,-0.14,-0.05,0.08,0.17
2.067,-0.06,-0.00,-0.24,0.25
2.077,-0.02,0.04,-0.04,0.06
2.087,0.08,0.22,-0.01,0.23
2.097,0.23,0.40,0.16,0.49
2.108,0.07,0.60,0.14,0.62
2.117,-0.07,0.63,-0.35,0.73
2.128,-0.05,0.46,-0.08,0.47
2.138,-0.09,0.38,0.17,0.42
2.148,-0.07,-0.01,0.40,0.41
2.158,0.05,-0.10,0.15,0.19
2.168,-0.06,-0.00,-0.26,0.26
2.178,-0.04,0.13,-0.09,0.16
2.188,0.06,0.17,0.00,0.18
2.198,0.06,0.15,-0.18,0.24
2.208,0.15,0.01,-0.08,0.17
2.218,0.14,-0.03,0.01,0.14
2.228,0.31,-0.03,0.27,0.41
2.239,0.31,0.19,-0.08,0.37
2.248,0.05,0.23,-0.23,0.33
2.259,0.09,0.18,-0.07,0.21
2.269,-0.04,0.27,0.03,0.28
2.279,-0.25,0.40,0.38,0.61
2.289,0.07,0.36,0.21,0.43
2.299,0.17,0.17,-0.40,0.47
2.309,0.19,0.01,-0.02,0.19
2.319,0.03,0.04,0.04,0.07
2.329,-0.02,0.06,-0.22,0.23
2.339,0.16,-0.07,-0.07,0.19
2.349,0.27,-0.04,-0.10,0.29
2.360,0.31,-0.09,0.42,0.53
2.369,-0.02,0.12,-0.10,0.16
