time,ax,ay,az,atotal
1.493,-0.50,0.33,0.25,0.65
1.503,-0.38,0.40,-0.03,0.56
1.513,-0.07,-0.02,-0.33,0.34
1.523,0.22,-0.32,-0.00,0.38
1.533,0.20,-0.36,-0.12,0.42
1.543,0.11,-0.20,-0.23,0.33
1.553,0.15,-0.19,0.00,0.24
1.563,0.25,0.05,-0.11,0.27
1.573,0.35,0.28,0.18,0.48
1.583,0.58,0.36,-0.36,0.77
1.593,0.12,-0.02,0.17,0.21
1.604,-0.38,-0.15,-0.22,0.46
1.614,-0.41,-0.20,0.25,0.52
1.624,-0.43,0.38,0.24,0.62
1.634,-0.29,0.46,-0.09,0.55
1.644,-0.01,-0.02,-0.31,0.31
1.654,0.14,-0.37,-0.02,0.39
1.664,0.21,-0.38,-0.15,0.46
1.674,0.16,-0.17,-0.21,0.31
1.684,0.25,-0.21,-0.02,0.33
1.695,0.18,0.14,-0.11,0.26
1.704,0.38,0.24,0.26,0.52
1.715,0.33,0.35,-0.23,0.53
1.725,-0.04,0.11,-0.11,0.16
1.735,-0.18,-0.18,0.10,0.28
1.745,-0.29,-0.14,0.30,0.44
1.755,-0.61,0.41,-0.02,0.74
1.765,-0.09,0.47,-0.10,0.49
1.775,0.16,-0.21,0.00,0.27
1.785,-0.12,-0.37,-0.45,0.60
1.795,0.42,-0.54,0.18,0.71
1.805,-0.15,-0.05,-0.19,0.25
1.815,0.19,0.02,-0.28,0.34
1.826,0.40,0.03,0.49,0.63
1.836,0.42,0.27,-0.30,0.59
1.846,0.36,0.34,-0.17,0.52
1.856,0.09,0.11,0.22,0.26
1.866,-0.45,-0.23,-0.09,0.51
1.876,-0.47,-0.04,0.25,0.53
1.886,-0.48,0.51,0.02,0.71
1.896,-0.11,0.48,-0.23,0.54
1.906,0.16,-0.31,0.12,0.36
1.916,0.25,-0.64,-0.42,0.80
1.926,0.16,-0.38,-0.25,0.48
1.936,0.20,0.04,0.20,0.29
1.947,-0.07,0.05,0.46,0.46
1.957,0.37,0.04,-0.60,0.71
1.967,0.30,0.13,0.26,0.42
1.977,0.46,0.28,-0.23,0.58
