time,ax,ay,az,atotal
1.483,-0.11,0.04,-0.10,0.16
1.493,-0.41,-0.05,0.24,0.47
1.503,-0.59,0.12,0.22,0.64
1.513,-0.26,0.48,-0.19,0.58
1.523,-0.02,0.25,0.01,0.25
1.533,0.18,-0.28,-0.12,0.35
1.543,0.13,-0.56,-0.26,0.63
1.553,0.04,-0.33,-0.07,0.34
1.563,0.02,0.03,-0.16,0.16
1.573,0.20,-0.15,0.06,0.25
1.583,0.38,0.10,-0.11,0.41
1.593,0.52,0.17,0.10,0.55
1.603,0.26,0.28,-0.23,0.44
1.613,-0.16,0.01,0.04,0.17
1.624,-0.46,-0.10,0.10,0.48
1.634,-0.62,0.25,0.40,0.78
1.644,-0.16,0.55,-0.62,0.85
1.654,-0.04,0.03,0.38,0.39
1.664,0.28,-0.34,-0.33,0.55
1.674,-0.03,-0.47,-0.26,0.53
1.684,0.21,-0.32,0.05,0.39
1.694,0.01,0.08,-0.20,0.22
1.704,0.30,0.03,-0.14,0.33
1.714,0.49,0.01,0.31,0.58
1.725,0.32,0.18,-0.19,0.41
1.735,0.22,0.20,-0.24,0.38
1.745,-0.20,0.06,0.21,0.30
1.755,-0.38,-0.23,0.08,0.45
1.765,-0.44,0.14,0.15,0.49
1.775,-0.27,0.46,-0.02,0.54
1.785,-0.00,0.35,-0.22,0.41
1.795,0.17,-0.30,0.07,0.35
1.805,0.12,-0.57,-0.34,0.67
1.815,0.06,-0.40,-0.21,0.46
1.825,0.18,-0.05,0.13,0.23
1.835,0.17,0.20,-0.20,0.33
1.846,0.52,0.08,0.12,0.54
1.856,0.42,0.21,-0.10,0.48
1.866,0.14,0.08,-0.23,0.28
1.876,-0.10,-0.04,-0.02,0.11
1.886,-0.45,-0.15,0.34,0.58
1.896,-0.46,0.16,0.03,0.49
1.906,-0.36,0.48,-0.09,0.61
1.916,-0.07,0.22,0.08,0.25
1.926,0.15,-0.13,-0.34,0.40
1.936,0.23,-0.62,0.08,0.67
1.946,0.08,-0.33,-0.39,0.52
1.957,0.22,-0.10,0.07,0.25
1.967,0.34,0.18,0.05,0.39
1.977,0.40,0.31,-0.05,0.51
1.987,0.30,0.09,-0.06,0.32
1.997,0.03,0.03,-0.27,0.27
2.007,-0.17,-0.11,0.05,0.21
2.017,-0.38,-0.06,0.21,0.43
2.027,-0.33,0.15,0.15,0.39
2.037,-0.32,0.43,-0.14,0.56
2.047,0.03,0.17,0.02,0.17
2.057,0.08,-0.13,-0.23,0.28
2.067,0.11,-0.46,-0.17,0.50
2.077,0.22,-0.32,-0.19,0.44
2.088,0.17,-0.11,0.11,0.23
2.098,0.13,0.31,-0.16,0.37
2.108,0.31,0.30,0.09,0.44
2.118,0.65,-0.02,-0.14,0.66
2.128,-0.00,-0.08,-0.14,0.16
2.138,-0.19,-0.17,-0.10,0.27
2.148,-0.38,0.03,0.36,0.53
2.158,-0.40,0.22,0.19,0.49
2.168,-0.37,0.38,-0.35,0.64
2.178,0.11,0.08,0.05,0.15
2.189,0.14,-0.16,-0.07,0.22
2.199,0.10,-0.31,-0.32,0.46
2.209,0.23,-0.46,0.03,0.52
2.219,0.13,-0.15,-0.16,0.25
2.229,0.34,0.21,0.03,0.40
2.239,0.37,0.44,0.28,0.64
2.249,0.25,0.13,-0.46,0.54
2.259,-0.06,-0.25,0.00,0.25
2.269,-0.25,-0.19,-0.02,0.32
2.279,-0.28,0.03,0.25,0.37
2.289,-0.22,0.43,0.15,0.51
2.299,-0.13,0.24,-0.00,0.27
2.309,-0.12,0.01,-0.30,0.32
2.320,0.07,-0.28,0.00,0.29
2.330,0.08,-0.22,-0.23,0.33
2.340,0.14,-0.17,-0.14,0.26
2.350,0.08,-0.13,0.02,0.15
2.360,0.43,0.01,-0.12,0.45
2.370,0.43,0.36,0.03,0.56
2.380,0.31,0.34,-0.02,0.46
2.390,0.12,-0.23,-0.21,0.34
2.400,-0.31,-0.36,-0.02,0.47
2.410,-0.33,-0.11,0.24,0.42
2.420,-0.23,0.44,0.19,0.53
2.430,-0.32,0.51,-0.03,0.60
2.441,-0.02,-0.04,-0.22,0.23
2.451,-0.03,-0.36,0.04,0.36
2.461,0.20,-0.29,-0.38,0.52
2.471,0.08,-0.05,0.01,0.09
2.481,0.32,-0.14,-0.07,0.36
2.491,0.20,-0.05,-0.07,0.21
2.501,0.39,0.17,0.12,0.45
2.511,0.33,0.27,-0.16,0.46
2.521,0.11,0.15,-0.05,0.19
2.531,-0.22,-0.20,-0.05,0.30
2.541,-0.36,-0.13,0.23,0.45
2.552,-0.33,0.22,0.19,0.44
2.562,-0.27,0.46,-0.11,0.55
2.572,0.05,0.01,-0.08,0.09
2.582,0.03,-0.29,-0.22,0.37
2.592,0.09,-0.40,-0.03,0.41
2.602,0.09,-0.13,-0.20,0.25
2.612,0.15,-0.03,-0.13,0.21
2.622,0.39,-0.02,0.02,0.39
2.632,0.33,0.15,0.19,0.41
2.642,0.42,0.22,-0.35,0.59
2.652,0.06,0.20,-0.09,0.23
2.662,-0.21,-0.17,0.10,0.29
2.673,-0.38,-0.11,0.17,0.43
2.683,-0.40,0.17,0.22,0.48
2.693,-0.23,0.46,-0.17,0.54
2.703,-0.06,0.15,-0.01,0.16
2.713,0.21,-0.44,-0.19,0.52
2.723,0.00,-0.47,-0.22,0.52
2.733,0.19,-0.12,0.04,0.23
2.743,0.13,0.16,-0.08,0.22
2.753,0.31,0.02,-0.10,0.33
2.763,0.44,0.08,0.17,0.48
2.773,0.48,0.11,-0.15,0.51
2.784,0.04,0.16,-0.20,0.26
2.794,-0.28,-0.04,0.07,0.29
2.804,-0.40,-0.26,0.34,0.58
2.814,-0.43,0.28,0.01,0.52
2.824,-0.15,0.48,-0.03,0.50
2.834,-0.00,0.17,-0.05,0.18
2.844,0.18,-0.49,-0.11,0.53
2.854,0.07,-0.55,-0.31,0.63
2.864,0.08,-0.22,0.09,0.25
2.874,0.10,0.11,-0.08,0.17
2.884,0.37,0.09,-0.03,0.39
2.894,0.43,0.08,0.17,0.47
2.905,0.42,0.16,-0.33,0.56
2.914,0.07,0.08,-0.04,0.11
2.925,-0.20,0.03,-0.05,0.21
2.935,-0.44,-0.09,0.36,0.58
2.945,-0.45,0.19,0.05,0.49
2.955,-0.33,0.35,-0.12,0.49
2.965,0.06,0.04,-0.05,0.09
2.975,0.17,-0.28,-0.21,0.39
2.985,0.16,-0.58,-0.08,0.61
2.995,0.10,-0.24,-0.21,0.33
3.005,0.17,0.03,0.04,0.18
3.016,0.44,0.26,0.03,0.51
3.025,0.41,0.20,0.04,0.46
3.036,0.24,0.08,-0.25,0.36
3.045,0.04,-0.04,-0.04,0.07
3.056,-0.35,0.06,0.03,0.36
3.066,-0.36,0.10,0.36,0.52
3.076,-0.38,0.16,0.05,0.42
3.086,-0.19,0.28,-0.41,0.53
3.096,0.09,-0.07,0.30,0.32
3.106,0.15,-0.25,-0.42,0.52
3.116,0.10,-0.43,-0.11,0.46
3.126,0.04,-0.20,0.02,0.21
3.137,0.28,0.01,-0.23,0.37
3.146,0.40,0.24,0.21,0.51
3.157,0.55,0.21,0.00,0.58
3.167,0.18,-0.03,-0.16,0.25
3.177,-0.06,-0.06,-0.14,0.16
3.187,-0.32,-0.06,0.12,0.35
3.197,-0.37,0.29,0.35,0.59
3.207,-0.54,0.40,-0.05,0.68
3.217,-0.04,0.17,-0.30,0.35
3.227,0.13,-0.30,0.17,0.37
3.237,0.09,-0.26,-0.42,0.50
3.247,0.22,-0.37,-0.05,0.43
3.257,0.21,-0.25,-0.04,0.33
3.267,0.32,0.03,-0.22,0.39
3.278,0.38,0.22,0.32,0.55
3.288,0.37,0.35,-0.29,0.59
3.298,0.06,0.01,0.03,0.07
3.308,-0.10,-0.09,-0.20,0.24
3.318,-0.32,-0.13,0.24,0.43
3.328,-0.44,0.38,0.25,0.63
3.338,-0.38,0.56,-0.21,0.71
3.348,0.01,-0.01,0.10,0.10
3.358,0.08,-0.39,-0.18,0.43
3.368,0.16,-0.32,-0.19,0.40
3.378,0.16,-0.25,-0.00,0.30
3.388,0.10,-0.22,-0.11,0.27
3.399,0.22,-0.05,-0.03,0.23
3.409,0.44,0.27,0.10,0.53
3.419,0.55,0.34,-0.16,0.66
3.429,0.18,0.01,-0.13,0.22
3.439,-0.24,-0.16,-0.01,0.29
3.449,-0.37,-0.18,0.32,0.53
3.459,-0.58,0.54,-0.04,0.79
3.469,-0.36,0.60,0.02,0.69
3.479,0.13,-0.06,-0.05,0.15
3.489,0.06,-0.44,-0.32,0.55
3.500,0.36,-0.48,-0.08,0.60
3.509,0.18,-0.15,-0.08,0.25
3.520,0.02,-0.21,-0.04,0.22
3.530,0.22,0.00,-0.11,0.24
3.540,0.47,0.21,0.17,0.55
3.550,0.42,0.35,-0.23,0.59
3.560,0.11,0.20,-0.06,0.23
3.570,-0.29,-0.18,0.04,0.34
3.580,-0.48,-0.06,0.24,0.54
3.590,-0.57,0.51,0.01,0.76
3.600,-0.15,0.54,-0.17,0.58
3.610,0.24,-0.19,0.16,0.35
